No,Id,Provinsi,Kabupaten / Kota,5. Jumlah Pemilih (1+2+3+4+5) (JML),H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden,Jumlah Tidak Memilih dan Suara Tidak Sah,Jumlah Tidak Memilih dan Suara Tidak Sah (%),Pasangan yang Unggul,Selisih Suara,Selisih Suara (%)
88,3322,Jawa Tengah,Semarang,759051,227602,359428,587030,172021,22.66264059,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-131826,-22.45643323
89,3323,Jawa Tengah,Temanggung,582486,167212,309118,476330,106156,18.22464403,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-141906,-29.79153108
90,3324,Jawa Tengah,Kendal,760531,228708,329481,558189,202342,26.60535862,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-100773,-18.0535625
91,3325,Jawa Tengah,Batang,588562,145019,278706,423725,164837,28.00673506,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-133687,-31.55041595
92,3326,Jawa Tengah,Pekalongan,715372,148592,328245,476837,238535,33.34419016,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-179653,-37.67597733
93,3327,Jawa Tengah,Pemalang,1123549,232693,453468,686161,437388,38.92914328,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-220775,-32.17539324
94,3328,Jawa Tengah,Tegal,1210106,297100,451294,748394,461712,38.15467405,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-154194,-20.60331857
95,3329,Jawa Tengah,Brebes,1506629,317975,601106,919081,587548,38.99752361,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-283131,-30.80588109
96,3371,Jawa Tengah,Kota Magelang,95418,32173,42056,74229,21189,22.20650192,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-9883,-13.31420334
97,3372,Jawa Tengah,Kota Surakarta,419547,52703,284199,336902,82645,19.69862733,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-231496,-68.71315694
98,3373,Jawa Tengah,Kota Salatiga,132872,38628,68664,107292,25580,19.25161057,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-30036,-27.99463147
99,3374,Jawa Tengah,Kota Semarang,1161687,292496,624289,916785,244902,21.08158222,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-331793,-36.19092808
100,3375,Jawa Tengah,Kota Pekalongan,220713,64738,99814,164552,56161,25.44526149,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-35076,-21.31605815
101,3376,Jawa Tengah,Kota Tegal,203366,55912,78775,134687,68679,33.77113185,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-22863,-16.9749122
