JAWA TIMUR,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
BANGKALAN,468622,494412,963034,79,64,143,0,0,0,201,255,456,468902,494731,963633,384699,418304,803003,76,64,140,0,0,0,201,255,456,384976,418623,803599,983518,277,179642,803599,793866,9733,803599,644608,149258,793866
SAMPANG,399257,406202,805459,193,35,228,0,0,0,345,308,653,399795,406545,806340,316090,327164,643254,43,35,78,0,0,0,345,308,653,316478,327507,643985,821616,68,177563,643985,637537,6448,643985,474752,162785,637537
PAMEKASAN,330308,350420,680728,222,134,356,60,43,103,778,921,1699,331368,351518,682886,243592,271727,515319,218,132,350,28,35,63,778,921,1699,244616,272815,517431,696039,160,178448,517431,513830,3601,517431,378652,135178,513830
SUMENEP,422968,473557,896525,228,116,344,3,3,6,920,951,1871,424119,474627,898746,263892,318115,582007,228,116,344,1,0,1,920,951,1871,265041,319182,584223,914057,197,329637,584223,578366,5857,584223,332956,245410,578366
KOTA KEDIRI,103492,105795,209287,679,816,1495,61,76,137,1872,2254,4126,106104,108941,215045,74866,81324,156190,640,762,1402,50,55,105,1872,2254,4126,77428,84395,161823,213695,159,51713,161823,159953,1870,161823,59461,100492,159953
KOTA BLITAR,52702,55302,108004,237,133,370,37,55,92,564,625,1189,53540,56115,109655,39579,43958,83537,230,131,361,18,31,49,563,625,1188,40390,44745,85135,110165,73,24957,85135,83948,1187,85135,29349,54599,83948
KOTA MALANG,300435,310811,611246,2269,2408,4677,356,401,757,6073,7270,13343,309133,320890,630023,207622,233803,441425,2068,2185,4253,179,306,485,6073,7270,13343,215942,243564,459506,624108,598,164004,459506,453099,6407,459506,182128,270971,453099
KOTA PROBOLINGGO,80596,84615,165211,399,234,633,156,131,287,813,871,1684,81964,85851,167815,58912,67416,126328,351,203,554,52,44,96,813,869,1682,60128,68532,128660,168903,55,40188,128660,127261,1399,128660,69112,58149,127261
KOTA PASURUAN,69465,72377,141842,99,77,176,64,58,122,903,1068,1971,70531,73580,144111,47618,54537,102155,87,70,157,19,20,39,903,1068,1971,48627,55695,104322,144814,54,40438,104322,102863,1459,104322,58967,43896,102863
KOTA MOJOKERTO,46067,48461,94528,115,113,228,122,65,187,608,706,1314,46912,49345,96257,34543,39171,73714,115,113,228,47,29,76,608,706,1314,35313,40019,75332,96568,36,21200,75332,74210,1122,75332,32706,41504,74210
KOTA MADIUN,69031,75376,144407,219,208,427,31,17,48,1064,1228,2292,70345,76829,147174,48545,56064,104609,216,205,421,25,15,40,1064,1228,2292,49850,57512,107362,147444,109,39973,107362,106107,1255,107362,41048,65059,106107
KOTA SURABAYA,990497,1026953,2017450,4939,5509,10448,150,144,294,27047,30780,57827,1022633,1063386,2086019,629333,710661,1339994,4763,5361,10124,103,111,214,27047,30780,57827,661246,746913,1408159,2060294,767,651368,1408159,1390859,17300,1408159,498736,892123,1390859
KOTA BATU,73163,73922,147085,205,237,442,21,35,56,798,892,1690,74187,75086,149273,58412,61411,119823,201,229,430,18,23,41,798,892,1690,59429,62555,121984,150234,36,28214,121984,120034,1950,121984,46979,73055,120034
Jumlah Akhir,15080049,15559848,30639897,23093,19930,43023,7229,6522,13751,111458,125513,236971,15221829,15711813,30933642,10351901,11548009,21899910,21862,18822,40684,3661,3415,7076,111325,125412,236737,10488749,11695658,22184407,31277850,15902,9077541,22184407,21946401,238006,22184407,10277088,11669313,21946401
